Cluster_ID,Ground_Truth,Ground_Truth_Label,Ground_Truth_Keywords,Standard_Genes,Standard_Answer,Standard_CellType,Standard_Confidence,Standard_Reasoning,Curated_Genes,Curated_Answer,Curated_CellType,Curated_Confidence,Curated_Reasoning,SingleR_Answer,Azimuth_Answer,CellTypist_Answer,GT_Major,GT_State,UsedInConfusion,Score_Standard,Score_Curated,Score_CellTypist,Score_SingleR,Score_Azimuth
CD4.c01.Tn.TCF7,CD4_Tn.Naive,CD4_Tn.Naive,"TCF7, LEF1, CCR7",RPL32;RPL11;RPL13;RPL30;RPS12;RPS8;RPS27A;RPS14;RPS3A;RPL19;RPL10;RPS13;RPL29;RPL18A;RPL18;RPL5;EEF1B2;RPS3;RPS23;RPS6;EEF1A1;RPL3;RPS18;RPS25;RPL22;RPL9;RPS15A;RPL8;RPL14;RPL12;RPS4X;RPL21;RPS5;RPS10;RPL10A;RPL6;RPL34;RPS7;RPL26;RPL35A;RPL24;NACA;RPS15;MALAT1;RPLP2;TPT1;RPL28;RPL7;RPL39;RPS28,Low-quality cell,Low-quality cell,High,"The gene list is overwhelmingly dominated by ribosomal protein genes (RPL/RPS) and other translation-related genes (e.g., EEF1A1, TPT1), along with the common lncRNA MALAT1. This signature lacks any specific lineage markers and is characteristic of stressed or low-quality cells, a common artifact in single-cell RNA-seq.",KLF2;TXNIP;SELL;TCF7;LEF1;LTB;CCR7;PLAC8;AREG;MAL;SCML1;FAAH2;S1PR1;CD55;TSHZ2;RASGRP2;TAF4B;TRABD2A;SATB1;C1orf228;MARCKSL1;SGK1;GIMAP4;FXYD7;SESN3;NGFRAP1;ACTN1;ICAM2;ANKRD55;ARRDC2;IFNGR2;AIF1;LYPD3;PASK;CXCR5;SESN1;TCEA3;IER3;ID3;TTC39C-AS1;PLK2;AC022182.3;KLF5,Naive T cell,Naive T cell,High,"The gene list includes a canonical signature for naive T cells, including high expression of transcription factors KLF2, TCF7, and LEF1, as well as key lymph node homing receptors SELL (CD62L), CCR7, and S1PR1.",Th1/Th17 cells,CD4 TCM,Tem/Effector helper T cells,T,Naive,True,0.0,1.0,0.7,0.7,0.7
CD4.c12.Tem.GZMK,CD4_Tem.EffMem,CD4_Tem.EffMem,"GZMK, CCL5, ANXA1",GZMK;CST7;GZMA;CCL5;CCL4;HLA-DPB1;DUSP2;GZMH;CD74;TUBA4A;DUSP4;RGCC;APOBEC3G;HLA-A;HLA-DPA1;CXCR4;GZMM;RPL23A;TMEM2;NKG7;TC2N;RNF19A;YPEL5;LITAF;HNRNPLL;CD44;TRAT1;ENC1;RARRES3;HLA-DRB1;SH2D1A;ITM2C;ITGB2;CCL4L2;COTL1;SRSF7;ITM2A;RPL13A;CD4;NFATC2;RPL28;LEPROTL1;EOMES;CNN2;RALGAPA1;CRTAM;F2R;TERF2IP;SDCBP;PTPRCAP,Cytotoxic CD4+ T cell,Cytotoxic CD4+ T cell,High,"The gene list shows co-expression of the CD4 lineage marker (`CD4`) with a potent cytotoxic/effector signature, including multiple granzymes (`GZMA`, `GZMK`, `GZMH`, `GZMM`), `NKG7`, `CST7`, and the key transcription factor `EOMES`. This specific combination is the hallmark of cytotoxic CD4+ T lymphocytes, a subset of effector memory cells.",GZMK;CST7;GZMA;CCL5;CCL4;HLA-DPB1;DUSP2;GZMH;CD74;TUBA4A;DUSP4;RGCC;HLA-DPA1;NKG7;ENC1;HLA-DRB1;SH2D1A;ITM2C;CCL4L2;COTL1;CD4;EOMES;CNN2;CRTAM;TNFSF9;HLA-DRB5;ZNF331;CLEC2B;HLA-DRA;IFNG;NR4A2;GIMAP4;SRRT;LYST;SLC7A5;GYG1;PSMA7;SLAMF7;LINC00152;CD27;PDCD1;APOBEC3C;LIME1;GPR183;OASL;HLA-DMA;AP3S1;RGS1;PRF1;ZFP36,Exhausted CD4+ Cytotoxic T cell,Exhausted CD4+ Cytotoxic T cell,High,"The gene list indicates a CD4+ T cell lineage (CD4) that has acquired a strong cytotoxic profile (GZMK, GZMA, PRF1, NKG7, EOMES). The co-expression of canonical exhaustion and activation markers (PDCD1, NR4A2) and MHC-II genes (HLA-DRB1, CD74) points to a chronically activated, exhausted state.",Effector memory CD8 T cells,CD8 TEM,Tem/Trm cytotoxic T cells,T,EffMem,True,1.0,0.7,1.0,1.0,1.0
CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,CD4_Temra.EffMem,"CX3CR1, KLRG1, GZMB",NKG7;CCL5;GZMH;CST7;PRF1;CCL4;GNLY;GZMB;FGFBP2;GZMA;LITAF;CTSW;HOPX;ZEB2;KLRG1;PLEK;GZMM;RPS3;IER2;C12orf75;MATK;HLA-C;FLNA;ANXA1;HLA-DPB1;TGFB1;S1PR5;RPS14;ITGB2;SPON2;HLA-DRB1;RPL23A;EFHD2;DUSP2;C1orf21;HCST;RPL26;ADGRG1;KLF3;SAMD3;PLAC8;LYAR;GSTP1;MT-CYB;ITGB1;RPS4X;NR4A2;BIN2;MT-CO2;MT-ND4L,CD8+ Effector Memory T cell,CD8+ Effector Memory T cell,High,"The gene list is dominated by canonical markers of cytotoxic lymphocytes, including multiple granzymes (GZMA, GZMB, GZMH, GZMM), perforin (PRF1), granulysin (GNLY), and NKG7. The presence of KLRG1 and FGFBP2 indicates a terminally differentiated effector memory phenotype. Chemokines like CCL4 and CCL5 further support a highly active, cytotoxic T cell identity.",NKG7;CCL5;GZMH;CST7;PRF1;CCL4;GNLY;GZMB;FGFBP2;GZMA;CTSW;HOPX;ZEB2;KLRG1;PLEK;C12orf75;MATK;FLNA;ANXA1;HLA-DPB1;S1PR5;SPON2;HLA-DRB1;DUSP2;ADGRG1;KLF3;PLAC8;LYAR;GSTP1;ITGB1;NR4A2;HLA-DPA1;LDHA;CX3CR1;KLRD1;TUBA4A;DSTN;CCL4L2;S1PR1;GLUL;CLIC3;FCGR3A;ZFP36;ENC1;UAP1;GZMK;HLA-DRB5;CLEC2B;PRSS23;CMC1,CD8+ Exhausted T cell,CD8+ Exhausted T cell,High,"The gene list shows a classic signature of exhausted cytotoxic T cells, including strong expression of cytotoxic effector molecules (GZMB, PRF1, GNLY, GZMH), terminal differentiation markers (KLRG1, CX3CR1), and key transcription factors associated with T cell exhaustion (NR4A2, HOPX, ZEB2).",Terminal effector CD4 T cells,CD8 TEM,Tem/Temra cytotoxic T cells,T,EffMem,True,1.0,0.7,1.0,1.0,1.0
CD4.c14.Th17.SLC4A10,CD4_Th17,CD4_Th17,"RORC, CCR6, IL23R",RPLP1;IL7R;ZFP36;TPT1;FTH1;ZFP36L2;CXCR4;VIM;ANXA1;GPR183;PDCD4;RPS10;RPS27A;CAPG;CREM;EEF1A1;PDE4D;KLRB1;SARAF;CCR6;RPLP0;CDKN1A;RPS12;FKBP11;ADGRE5;MCL1;GPR65;ITM2B;BHLHE40;MGAT4A;RBMS1;EEF1B2;SRGN;G3BP2;PERP;S100A10;RPS14;RPL10;LDLRAD4;RPL13;MYADM;S100A11;TNFAIP3;IFNGR1;RPS19;RPS3A;BTG1;CD55;RPL9;CRIP1,Th17 cell,Th17 cell,High,"The gene list includes key markers for the Th17 lineage, notably the co-expression of the chemokine receptor CCR6 and the C-type lectin KLRB1 (CD161). The presence of GPR65 further supports this identification. A strong activation signature is evident from the high expression of numerous ribosomal proteins (RPL/RPS genes) and immediate-early/activation-induced genes like ZFP36 and TNFAIP3.",ZFP36;ZFP36L2;VIM;ANXA1;GPR183;PDE4D;KLRB1;CCR6;CDKN1A;PERP;LDLRAD4;CD55;RGCC;SLC7A5;TOB1;LMNA;PTGER2;CXCR6;LDHA;GSTP1;AC092580.4;ANXA2;CCL5;POLR1E;AQP3;CLEC2B;PDCL3;LGALS3;DDIT4;S100A6;AREG;IL4I1;GLUL;HOPX;DPP4;TUBA1C;PEBP1;KLF6;TMIGD2;ITM2C;ZNF331;ID2;NFKBIZ;PDCD1;DUSP2;THBS1;RASGEF1B;CCL20;MAFF;PLAUR,Exhausted T cell,Exhausted T cell,High,"The gene list includes the canonical exhaustion marker PDCD1 (PD-1), along with several other genes strongly associated with T cell exhaustion and dysfunction, such as TOB1, NFKBIZ, DUSP2, and MAFF.",Th1/Th17 cells,CD4 TCM,Tem/Effector helper T cells,T,Th17,True,1.0,0.7,0.7,1.0,0.7
CD4.c15.Th17.IL23R,CD4_Th17,CD4_Th17,"RORC, CCR6, IL23R",CAPG;KLRB1;MGAT4A;CCR6;RORA;RPLP1;G3BP2;CXCR6;PDE4D;CTSH;TPT1;MYH9;IL7R;ALOX5AP;ITM2B;CD96;AQP3;PDCD4;CD3E;CXCR4;OSTF1;SPOCK2;CCL20;CREM;GPR65;PBX4;LAPTM5;YWHAQ;IL4I1;LDLRAD4;RPLP0;PBXIP1;FKBP11;JAML;RBL2;TNFAIP3;RBMS1;LGALS3;ID2;AHR;CD3G;CCNH;RAP1B;RPS4Y1;ATP1A1;PFKFB3;TMSB4X;SRGN;ERN1;TMIGD2,Th17 cell,Th17 cell,High,"The gene list includes core T-cell markers (CD3E, CD3G), the master transcription factor for Th17 cells (RORA), and the canonical Th17 chemokine receptor (CCR6) and its ligand (CCL20), along with other associated markers like KLRB1 and IL7R.",KLRB1;CCR6;CXCR6;PDE4D;CTSH;AQP3;CCL20;IL4I1;LDLRAD4;LGALS3;ID2;CD3G;TMIGD2;PERP;PTPN13;GPR183;SLC7A5;CDKN1A;TNFSF13B;DPP4;VIM;CD69;CA2;CLEC2B;MCAM;CITED2;CEBPD;CTSL;ZFP36L2;ZFP36;GYG1;KLF6;PTGER2;TOB1;PEBP1;NFKBIZ;DUSP1;RBM3;GNA15;CYTH3;SESN1;ANXA1;SRSF2;PDCL3;ITM2C;AC092580.4;H2AFV;CHCHD10;ARL3;ZEB2,MAIT cell,MAIT cell,High,"The gene list includes the canonical signature for MAIT cells: KLRB1 (CD161), CCR6, and CXCR6. This is further supported by the expression of other associated markers like DPP4, CD69, and AQP3.",MAIT cells,CD4 TCM,Tem/Effector helper T cells,T,Th17,True,1.0,0.7,0.7,0.7,0.7
CD4.c16.Tfh.CXCR5,CD4_Tfh,CD4_Tfh,"CXCL13, BCL6, ICA1",NR3C1;CXCL13;FKBP5;IL6ST;SRGN;TNFSF8;NMB;SESN3;RBPJ;ITM2A;BTLA;TIGIT;NAP1L4;CHN1;CD200;TMEM243;TOX2;TSHZ2;MTHFD2;FABP5;COTL1;DUSP4;TOX;CNIH1;IGFBP4;BATF;CPM;SOD1;STK17A;RGS2;TNFRSF4;METTL8;TIAM1;ITPR1;LRMP;FAM107B;FYB;LIMS1;RNF19A;ALOX5AP;SESN1;TCF7;GK;PASK;ELMO1;PDCD1;CYSLTR1;PPP1CC;HIF1A;PDE7B,CD8+ Exhausted T cell,CD8+ Exhausted T cell,High,"The gene list includes a canonical signature of T cell exhaustion, including co-expression of multiple inhibitory receptors (PDCD1, TIGIT, BTLA), key transcription factors that drive the exhausted state (TOX, TOX2, BATF), and markers associated with chronic stimulation and dysfunction (CXCL13, HIF1A, FKBP5).",CXCL13;NMB;SESN3;RBPJ;BTLA;TIGIT;CHN1;CD200;TOX2;TSHZ2;COTL1;DUSP4;CNIH1;IGFBP4;BATF;CPM;SOD1;RGS2;TNFRSF4;TIAM1;LRMP;SESN1;TCF7;GK;PASK;PDCD1;PDE7B;BIRC3;NFKBIA;SMCO4;CORO1B;RHOB;SH2D1A;GNG4;PGM2L1;ICA1;IGFL2;CH25H;SELL;MT2A;ZNF331;CTSL;GRSF1;TNFRSF18;LHFP;FBXO32;GEM;CTLA4;CCDC50;TPI1,Progenitor Exhausted T cell,Progenitor Exhausted T cell,High,"The gene list shows a classic signature of progenitor exhausted T cells, co-expressing canonical exhaustion markers (PDCD1, CTLA4, TIGIT, TOX2) with markers of a stem-like/memory state (TCF7, SELL). The presence of CXCL13 is a key hallmark of this specific subset.",T regulatory cells,CD4 TCM,Regulatory T cells,T,Tfh,True,0.7,0.7,0.7,0.0,0.7
CD4.c17.TfhTh1.CXCL13,CD4_Tfh,CD4_Tfh,"CXCL13, BCL6, ICA1",CXCL13;CTSD;CCL4;RBPJ;DUSP4;LY6E;ID2;CD82;HLA-B;TPI1;B2M;TNFRSF18;PDCD1;RGS1;ITM2A;BST2;LAG3;NR3C1;SLA;GZMA;ALOX5AP;GAPDH;IFNG;PTMS;LAPTM5;ANXA5;CD247;PRDM1;HSPB1;CXCR6;IFI6;SRGN;LYST;PLPP1;HAVCR2;CBLB;HLA-A;ADGRG1;SNX9;ZEB2;CD3D;PKM;TOX;TIGIT;PPDPF;RHOB;IFITM2;SH3BGRL3;PDIA6;ARL6IP1,CD8+ exhausted T cell (ISG-high),CD8+ exhausted T cell (ISG-high),High,"The gene list shows a strong signature for T cells (CD3D, CD247) with multiple canonical exhaustion markers (PDCD1, LAG3, HAVCR2, TIGIT, TOX), cytotoxic molecules (GZMA, IFNG), the specific marker CXCL13, and several interferon-stimulated genes (IFI6, IFITM2, BST2).",CXCL13;CCL4;RBPJ;DUSP4;ID2;TPI1;TNFRSF18;PDCD1;RGS1;BST2;LAG3;GZMA;IFNG;PTMS;ANXA5;PRDM1;CXCR6;IFI6;LYST;PLPP1;HAVCR2;ADGRG1;ZEB2;CD3D;PKM;TIGIT;RHOB;PDIA6;ARL6IP1;DNPH1;MT2A;GZMB;PHLDA1;CTLA4;RAC1;CACYBP;PGAM1;CCL4L2;UBB;PDE7B;GPR25;KRT86;BHLHE40-AS1;TXNIP;ARL3;PTPN13;AHSA1;CCL5;SOD1;KLRB1,CD8+ Exhausted T cell,CD8+ Exhausted T cell,High,"The cell expresses the T cell lineage marker CD3D, cytotoxic markers (GZMA, GZMB, IFNG), and a strong signature of exhaustion, including multiple checkpoint inhibitors (PDCD1, CTLA4, LAG3, HAVCR2, TIGIT) and the key transcription factor PRDM1. The presence of CXCL13 is characteristic of a specific subset of exhausted T cells.",Th1/Th17 cells,CD4 TCM,Regulatory T cells,T,Tfh,True,0.7,0.7,0.7,0.7,0.7
CD4.c18.Treg.RTKN2,CD4_Treg,CD4_Treg,"FOXP3, IL2RA, IKZF2",FOXP3;MALAT1;TIGIT;BATF;SELL;TBC1D4;STAM;FCMR;CTLA4;GBP5;PMAIP1;ARID5B;FTL;CARD16;SAT1;UGP2;LTB;RPL8;CD27;BIRC3;C12orf57;RTKN2;RPL11;SAMHD1;USP15;EIF1;IL32;EEF1D;RPL22;UBE2B;IKZF2;RPS8;RPL12;PELI1;EIF4B;IL2RA;GK;HSPA8;ARID5A;PBXIP1;PIK3IP1;RPS26;FUS;RPL5;SOD1;UBC;CDKN1B;STAT3;LAYN;RPL19,Regulatory T cell,Regulatory T cell,High,"The gene list includes the canonical Treg lineage-defining transcription factor FOXP3, and key functional/surface markers IL2RA (CD25), CTLA4, and TIGIT.",FOXP3;TIGIT;BATF;SELL;TBC1D4;CTLA4;GBP5;PMAIP1;CARD16;SAT1;LTB;CD27;BIRC3;RTKN2;IKZF2;PELI1;IL2RA;GK;LAYN;LAIR2;ICA1;MIR4435-2HG;TNFRSF4;CCR8;HPGD;ID3;HTATIP2;CD7;TTN;DUSP4;LEF1;WDR74;TNFRSF9;MAGEH1;RBKS;MAL;FANK1;SESN3;GEM;ACTA2;CCNG2;ENTPD1;CCR4;HLA-DQB1;NGFRAP1;FAAH2;CD177;CCDC141;YPEL2;AC133644.2,Effector Regulatory T cell,Effector Regulatory T cell,High,"The cell expresses the canonical Treg master regulator FOXP3 and key functional markers IL2RA (CD25), CTLA4, and IKZF2. The additional expression of activation and suppressive function markers like TIGIT, TNFRSF9 (4-1BB), CCR8, and ENTPD1 (CD39) indicates an activated, effector phenotype.",T regulatory cells,Treg,Regulatory T cells,T,Treg,True,1.0,1.0,1.0,0.3,1.0
CD4.c19.Treg.S1PR1,CD4_Treg,CD4_Treg,"FOXP3, IL2RA, IKZF2",FOXP3;IL32;SELL;KLF2;HLA-DRB1;FCMR;LTB;CD74;GBP5;HLA-DPB1;HLA-DRA;SAMHD1;YWHAB;HSPA1A;PTPRCAP;TMSB10;AES;RPS26;HPGD;CD27;SOD1;LDHB;FXYD5;UGP2;GLRX;MIR4435-2HG;HLA-DQA1;EMP3;IKZF2;GBP2;HSPA1B;LIMD2;HLA-DPA1;CCR4;STAM;FTL;CACYBP;SAT1;CD52;AQP3;S100A4;UQCRB;USP15;CTLA4;CALM3;SKAP1;GNB2L1;TTC39C;RPS15;RTKN2,"Regulatory T cell (activated, ISG-high)","Regulatory T cell (activated, ISG-high)",High,"The presence of the canonical Treg markers FOXP3, CTLA4, and IKZF2 is definitive. High expression of MHC class II genes (HLA-DRB1, HLA-DPB1, etc.) indicates an activated state. The presence of interferon-stimulated genes like GBP2, GBP5, and SAMHD1 points to an interferon signature.",FOXP3;SELL;KLF2;HLA-DRB1;LTB;CD74;GBP5;HLA-DPB1;HLA-DRA;HPGD;CD27;SOD1;LDHB;GLRX;MIR4435-2HG;HLA-DQA1;IKZF2;GBP2;LIMD2;HLA-DPA1;CCR4;CACYBP;SAT1;AQP3;S100A4;CTLA4;CALM3;RTKN2;DOK2;NOP10;ATP5E;LIME1;HLA-DQB1;PMAIP1;LINC00152;BIRC3;CARD16;IL2RA;BTG3;TTN;LEF1;PIM2;HLA-DRB5;SOD2;BAG3;HLA-DMA;PKIA;LGALS3;ID3;CCNG2,"Regulatory T cell (activated, ISG-high)","Regulatory T cell (activated, ISG-high)",High,"High expression of canonical Treg markers (FOXP3, IL2RA, CTLA4, IKZF2), strong activation markers (multiple MHC Class II genes like HLA-DRB1), and an interferon-stimulated gene signature (GBP2, GBP5).",T regulatory cells,Treg,Regulatory T cells,T,Treg,True,1.0,1.0,1.0,0.3,1.0
CD4.c20.Treg.TNFRSF9,CD4_Treg,CD4_Treg,"FOXP3, IL2RA, IKZF2",FOXP3;CARD16;BATF;IL32;TNFRSF18;TIGIT;TNFRSF4;CTSC;HLA-A;CTLA4;CD27;CD7;CCR8;TNFRSF9;LAYN;DNPH1;TBC1D4;IL2RA;LAIR2;GLRX;GBP2;DUSP4;AC133644.2;HTATIP2;STAM;PMAIP1;SYNGR2;TNFRSF1B;IL1R2;GBP5;B2M;MIR4435-2HG;UCP2;IKZF2;ACP5;PKM;CD74;SAT1;FKBP1A;RPS27L;SPOCK2;SUMO2;IL2RG;ICOS;NAMPT;UGP2;SIRPG;RHBDD2;MAGEH1;ENO1,Effector Regulatory T cell,Effector Regulatory T cell,High,"The gene set is dominated by canonical markers for Regulatory T cells (Tregs), including the master transcription factor FOXP3, and key surface receptors IL2RA (CD25), CTLA4, and TIGIT. The presence of additional markers like CCR8, LAYN, and TNFRSF18 (GITR) strongly indicates a highly activated, effector phenotype.",FOXP3;CARD16;BATF;TNFRSF18;TIGIT;TNFRSF4;CTLA4;CD27;CD7;CCR8;TNFRSF9;LAYN;DNPH1;TBC1D4;IL2RA;LAIR2;GLRX;GBP2;DUSP4;AC133644.2;HTATIP2;PMAIP1;SYNGR2;IL1R2;GBP5;MIR4435-2HG;IKZF2;ACP5;PKM;CD74;SAT1;MAGEH1;ENO1;LTB;SOD1;MRPS6;CORO1B;S100A4;PHLDA1;GK;BIRC3;BTG3;AC145110.1;CACYBP;RTKN2;ARPC1B;CXCR6;HPGD;PELI1;ENTPD1,Effector Regulatory T cell,Effector Regulatory T cell,High,"The cell expresses the master transcription factor FOXP3, along with canonical Treg markers (IL2RA, CTLA4, TIGIT, IKZF2) and markers of a highly activated, suppressive state (CCR8, LAYN, ENTPD1, TNFRSF18).",T regulatory cells,Treg,Regulatory T cells,T,Treg,True,1.0,1.0,1.0,0.3,1.0
CD4.c21.Treg.OAS1,CD4_Treg,CD4_Treg,"FOXP3, IL2RA, IKZF2",FOXP3;ISG15;IFI6;SAT1;CARD16;MX1;IL32;LY6E;OAS1;BATF;GBP5;EPSTI1;TNFRSF18;CD27;STAT1;TNFRSF4;CD7;IL2RA;BST2;TIGIT;HLA-A;MIR4435-2HG;GBP2;PSMB9;RNF213;CTLA4;ISG20;XAF1;AC133644.2;ACP5;CTSC;IFI35;UBE2L6;HERC5;HSPA1A;DNPH1;B2M;PIM2;COX5A;EIF2AK2;IL1R2;CD74;SOD1;CACYBP;IL2RG;IFI44L;SP100;CALM3;CCR8;HSPA1B,Regulatory T cell (ISG-high),Regulatory T cell (ISG-high),High,"The cell type is defined by the canonical Treg markers FOXP3, IL2RA (CD25), CTLA4, and TIGIT. The cellular state is characterized by the high expression of a large number of interferon-stimulated genes (ISGs), including ISG15, MX1, STAT1, and OAS1.",FOXP3;ISG15;IFI6;SAT1;CARD16;MX1;OAS1;BATF;GBP5;TNFRSF18;CD27;STAT1;TNFRSF4;CD7;IL2RA;BST2;TIGIT;MIR4435-2HG;GBP2;CTLA4;AC133644.2;ACP5;HERC5;DNPH1;PIM2;COX5A;IL1R2;CD74;SOD1;CACYBP;CALM3;CCR8;IKZF2;SYNGR2;PSMB8;BIRC3;SELL;LINC00152;OASL;LAYN;TNFRSF9;HTATIP2;GLRX;LAIR2;DNAJB4;LTB;GCNT1;RTKN2;USP18;MAGEH1,Regulatory T cell (ISG-high),Regulatory T cell (ISG-high),High,"The cell expresses the canonical Treg master transcription factor FOXP3, along with other key Treg markers (IL2RA, CTLA4, TIGIT, IKZF2, TNFRSF18). Additionally, it shows a strong interferon-stimulated gene signature (ISG15, IFI6, MX1, STAT1, OAS1).",T regulatory cells,CD4 TCM,Regulatory T cells,T,Treg,True,1.0,1.0,1.0,0.3,0.7
CD4.c22.ISG.IFIT1,CD4_ISG,CD4_ISG,"ISG15, IFIT1, MX1",IFITM1;ISG15;MX1;IFI6;LY6E;STAT1;IRF7;MX2;ISG20;EIF2AK2;XAF1;IFI44L;EPSTI1;TRIM22;UBE2L6;OAS1;RNF213;PLSCR1;IFI44;IFIT1;IFI35;RSAD2;HERC5;CMPK2;IFIT3;SAMD9L;OAS3;MT2A;PSMB9;DRAP1;LGALS9;SP100;BST2;PARP9;DDX60L;SP110;IFITM2;IFI16;TMEM123;PARP14;SAMD9;OAS2;SMCHD1;OASL;NT5C3A;C5orf56;USP18;STAT2;C19orf66;GBP1,Immune cell (ISG-high),Immune cell (ISG-high),Medium,"The gene list is overwhelmingly composed of canonical interferon-stimulated genes (e.g., ISG15, MX1, IFIT1, OAS1) and transcription factors of the IFN pathway (STAT1, STAT2, IRF7), indicating a strong interferon response state. However, the list lacks specific markers to define a precise lineage, making 'Immune cell' a broad but appropriate classification.",ISG15;MX1;IFI6;STAT1;OAS1;IFIT1;RSAD2;HERC5;CMPK2;IFIT3;MT2A;BST2;OASL;USP18;GIMAP4;SAT1;TXNIP;PSME2;PSMB8;TNFSF10;GBP5;IFIT2;NFKBIZ;CARD16;SLFN5;SELL;TSHZ2;GBP2;TNFSF13B;GALM;DNAJB1;IFITM3;NEAT1;LAG3;GNG5;CTSH;PSMA3;CXCL13;AIM2;RBPJ;GPR155;USPL1;SOD2;MIF;PSMA5;CHI3L2;CD7;CACYBP;GADD45G;BAG3,Exhausted T cell (ISG-high),Exhausted T cell (ISG-high),High,"The cell expresses the T cell exhaustion marker LAG3. The overwhelming signature is a strong interferon-stimulated gene (ISG) response, indicated by the high expression of numerous canonical ISGs such as ISG15, MX1, IFI6, STAT1, OAS1, and IFIT1.",Th1/Th17 cells,CD4 TCM,Regulatory T cells,T,ISG,True,0.3,1.0,0.7,0.7,0.7
