dataset,cluster,Ground_Truth,variant,noise_fraction,low_gini_fraction,marker_recall,mean_gene_gini,n_genes
CD4,CD4.c04.Tn.il7r,CD4_Tn.Naive,full_core,0.0,0.0,0.0,0.7262716826674273,50
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,standard,0.3,0.06,0.0,0.35808384484727734,50
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,filter_only,0.1,0.0,0.16666666666666666,0.5259121198225813,50
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,regex_mask,0.0,0.0,0.16666666666666666,0.5616771269125526,50
CD4,CD4.c05.Tm.TNF,CD4_Tm.EffMem,full_core,0.0,0.0,0.16666666666666666,0.8115681139949836,45
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,standard,0.9,0.02,0.16666666666666666,0.13402916001076773,50
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,filter_only,0.34,0.0,0.5,0.42400328562728373,50
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,regex_mask,0.0,0.0,0.5,0.5374546999899104,50
CD4,CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,full_core,0.0,0.0,0.6666666666666666,0.7148240281432929,50
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,standard,0.2,0.2,0.16666666666666666,0.34144160583616423,50
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,filter_only,0.04,0.04,0.16666666666666666,0.404151335969077,50
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,regex_mask,0.04,0.04,0.16666666666666666,0.404151335969077,50
CD4,CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,full_core,0.0,0.0,0.16666666666666666,0.5252434746409376,50
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,standard,0.18,0.06,0.3333333333333333,0.4304451164272793,50
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,filter_only,0.14,0.0,0.3333333333333333,0.4594141794380846,50
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,regex_mask,0.0,0.0,0.3333333333333333,0.4903924489588563,50
CD4,CD4.c08.Tm.CREM,CD4_Tm.EffMem,full_core,0.0,0.0,0.16666666666666666,0.6767757867246611,50
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,standard,0.44,0.06,0.3333333333333333,0.31940991232041205,50
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,filter_only,0.1,0.0,0.3333333333333333,0.4762544022199286,50
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,regex_mask,0.0,0.0,0.3333333333333333,0.4997546925134354,50
CD4,CD4.c09.Tm.CCL5,CD4_Tm.EffMem,full_core,0.0,0.0,0.16666666666666666,0.7697471797529789,41
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,standard,0.16,0.14,0.16666666666666666,0.33790328557283894,50
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,filter_only,0.04,0.04,0.16666666666666666,0.3888129169177098,50
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,regex_mask,0.04,0.04,0.16666666666666666,0.3888129169177098,50
CD4,CD4.c10.Tm.CAPG,CD4_Tm.EffMem,full_core,0.0,0.0,0.3333333333333333,0.5186448093514817,50
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,standard,0.1,0.1,0.16666666666666666,0.46755676156660925,50
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,filter_only,0.0,0.0,0.16666666666666666,0.5092352362867993,50
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,regex_mask,0.0,0.0,0.16666666666666666,0.5092352362867993,50
CD4,CD4.c11.Tm.GZMA,CD4_Tm.EffMem,full_core,0.0,0.0,0.16666666666666666,0.620550372566075,50
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,standard,0.08,0.0,0.16666666666666666,0.5485485712782846,50
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,filter_only,0.0,0.0,0.16666666666666666,0.6098718397779045,50
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,regex_mask,0.0,0.0,0.16666666666666666,0.6098718397779045,50
CD4,CD4.c12.Tem.GZMK,CD4_Tem.EffMem,full_core,0.0,0.0,0.3333333333333333,0.7615062229224884,50
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,standard,0.18,0.0,0.8333333333333334,0.6199368366160843,50
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,filter_only,0.02,0.0,0.8333333333333334,0.6971669875721948,50
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,regex_mask,0.0,0.0,0.8333333333333334,0.704307808659359,50
CD4,CD4.c13.Temra.CX3CR1,CD4_Temra.EffMem,full_core,0.0,0.0,1.0,0.8006944726788123,50
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,standard,0.34,0.06,0.5,0.36215237377280424,50
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,filter_only,0.04,0.0,0.5,0.5026454158802327,50
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,regex_mask,0.0,0.0,0.5,0.5156214570442341,50
CD4,CD4.c14.Th17.SLC4A10,CD4_Th17,full_core,0.0,0.0,0.3333333333333333,0.6891225586552691,50
CD4,CD4.c15.Th17.IL23R,CD4_Th17,standard,0.14,0.06,0.6666666666666666,0.51850800589328,50
CD4,CD4.c15.Th17.IL23R,CD4_Th17,filter_only,0.02,0.0,0.6666666666666666,0.5734552193239923,50
CD4,CD4.c15.Th17.IL23R,CD4_Th17,regex_mask,0.0,0.0,0.6666666666666666,0.5797551202304667,50
CD4,CD4.c15.Th17.IL23R,CD4_Th17,full_core,0.0,0.0,0.5,0.7300829856747739,50
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,standard,0.04,0.02,0.5,0.7177579499396713,50
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,filter_only,0.02,0.0,0.5,0.7314941976751279,50
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,regex_mask,0.0,0.0,0.5,0.7271783648887942,50
CD4,CD4.c16.Tfh.CXCR5,CD4_Tfh,full_core,0.0,0.0,0.16666666666666666,0.7766274273154454,50
CD4,CD4.c17.TfhTh1.CXCL13,CD4_Tfh,standard,0.14,0.08,0.5,0.5608478335627342,50
CD4,CD4.c17.TfhTh1.CXCL13,CD4_Tfh,filter_only,0.04,0.0,0.5,0.6283383841493672,50
CD4,CD4.c17.TfhTh1.CXCL13,CD4_Tfh,regex_mask,0.0,0.0,0.5,0.6346925795917286,50
CD4,CD4.c17.TfhTh1.CXCL13,CD4_Tfh,full_core,0.0,0.0,0.16666666666666666,0.7036448954003771,50
CD4,CD4.c18.Treg.RTKN2,CD4_Treg,standard,0.28,0.04,1.0,0.4799121795848783,50
CD4,CD4.c18.Treg.RTKN2,CD4_Treg,filter_only,0.0,0.0,1.0,0.7417361196644915,50
CD4,CD4.c18.Treg.RTKN2,CD4_Treg,regex_mask,0.0,0.0,1.0,0.7417361196644915,50
CD4,CD4.c18.Treg.RTKN2,CD4_Treg,full_core,0.0,0.0,1.0,0.8298189061357452,50
CD4,CD4.c19.Treg.S1PR1,CD4_Treg,standard,0.14,0.06,0.5,0.5099102701046389,50
CD4,CD4.c19.Treg.S1PR1,CD4_Treg,filter_only,0.06,0.0,0.5,0.5430740336895032,50
CD4,CD4.c19.Treg.S1PR1,CD4_Treg,regex_mask,0.0,0.0,0.5,0.5517589118573392,50
CD4,CD4.c19.Treg.S1PR1,CD4_Treg,full_core,0.0,0.0,1.0,0.6756367425805782,50
CD4,CD4.c20.Treg.TNFRSF9,CD4_Treg,standard,0.08,0.04,1.0,0.6186880080520935,50
CD4,CD4.c20.Treg.TNFRSF9,CD4_Treg,filter_only,0.02,0.0,1.0,0.6326282697223337,50
CD4,CD4.c20.Treg.TNFRSF9,CD4_Treg,regex_mask,0.0,0.0,1.0,0.6298617999784546,50
CD4,CD4.c20.Treg.TNFRSF9,CD4_Treg,full_core,0.0,0.0,1.0,0.6810905000170631,50
CD4,CD4.c21.Treg.OAS1,CD4_Treg,standard,0.12,0.04,0.8333333333333334,0.6068279886516195,50
CD4,CD4.c21.Treg.OAS1,CD4_Treg,filter_only,0.06,0.0,1.0,0.6493232762508903,50
CD4,CD4.c21.Treg.OAS1,CD4_Treg,regex_mask,0.0,0.0,1.0,0.6418085895105403,50
CD4,CD4.c21.Treg.OAS1,CD4_Treg,full_core,0.0,0.0,1.0,0.7221486027839451,50
CD4,CD4.c22.ISG.IFIT1,CD4_ISG,standard,0.02,0.0,1.0,0.7326135824951138,50
CD4,CD4.c22.ISG.IFIT1,CD4_ISG,filter_only,0.02,0.0,1.0,0.7326135824951138,50
CD4,CD4.c22.ISG.IFIT1,CD4_ISG,regex_mask,0.0,0.0,1.0,0.7329459113526912,50
CD4,CD4.c22.ISG.IFIT1,CD4_ISG,full_core,0.0,0.0,1.0,0.7574222802943024,50
MSC,CAFs MSC iCAF-like,Fibro_iCAF,standard,0.0,0.0,1.0,0.7008392372891333,50
MSC,CAFs MSC iCAF-like,Fibro_iCAF,filter_only,0.0,0.0,1.0,0.7008392372891333,50
MSC,CAFs MSC iCAF-like,Fibro_iCAF,regex_mask,0.0,0.0,1.0,0.7008392372891333,50
MSC,CAFs MSC iCAF-like,Fibro_iCAF,full_core,0.0,0.0,1.0,0.7583763576416065,50
MSC,CAFs myCAF-like,Fibro_myCAF,standard,0.0,0.0,0.3333333333333333,0.7117004163901389,50
MSC,CAFs myCAF-like,Fibro_myCAF,filter_only,0.0,0.0,0.3333333333333333,0.7117004163901389,50
MSC,CAFs myCAF-like,Fibro_myCAF,regex_mask,0.0,0.0,0.3333333333333333,0.7117004163901389,50
MSC,CAFs myCAF-like,Fibro_myCAF,full_core,0.0,0.0,0.3333333333333333,0.7231677307419221,50
MSC,Cycling PVL,Fibro_PVL,standard,0.4,0.0,0.16666666666666666,0.7267773306221429,50
MSC,Cycling PVL,Fibro_PVL,filter_only,0.4,0.0,0.16666666666666666,0.7267773306221429,50
MSC,Cycling PVL,Fibro_PVL,regex_mask,0.0,0.0,0.16666666666666666,0.6631152247422328,50
MSC,Cycling PVL,Fibro_PVL,full_core,0.02,0.0,0.5,0.7406531198864401,50
MSC,Endothelial ACKR1,Endothelial,standard,0.02,0.0,0.3333333333333333,0.7141034685127922,50
MSC,Endothelial ACKR1,Endothelial,filter_only,0.02,0.0,0.3333333333333333,0.7141034685127922,50
MSC,Endothelial ACKR1,Endothelial,regex_mask,0.0,0.0,0.3333333333333333,0.7150235582374566,50
MSC,Endothelial ACKR1,Endothelial,full_core,0.0,0.0,0.5,0.7908909901301687,50
MSC,Endothelial CXCL12,Endothelial,standard,0.04,0.0,0.5,0.6489065078757004,50
MSC,Endothelial CXCL12,Endothelial,filter_only,0.04,0.0,0.5,0.6489065078757004,50
MSC,Endothelial CXCL12,Endothelial,regex_mask,0.0,0.0,0.5,0.6691465527263247,50
MSC,Endothelial CXCL12,Endothelial,full_core,0.0,0.0,0.6666666666666666,0.7780977066211383,50
MSC,Endothelial RGS5,Endothelial,standard,0.04,0.0,0.8333333333333334,0.7033959299550061,50
MSC,Endothelial RGS5,Endothelial,filter_only,0.04,0.0,0.8333333333333334,0.7033959299550061,50
MSC,Endothelial RGS5,Endothelial,regex_mask,0.0,0.0,0.8333333333333334,0.7167198767306101,50
MSC,Endothelial RGS5,Endothelial,full_core,0.0,0.0,1.0,0.782287348733163,50
MSC,PVL Differentiated,Fibro_PVL,standard,0.04,0.04,0.6666666666666666,0.6668462846803349,50
MSC,PVL Differentiated,Fibro_PVL,filter_only,0.0,0.0,0.6666666666666666,0.6863363049753842,50
MSC,PVL Differentiated,Fibro_PVL,regex_mask,0.0,0.0,0.6666666666666666,0.6863363049753842,50
MSC,PVL Differentiated,Fibro_PVL,full_core,0.0,0.0,0.8333333333333334,0.7507833833578178,50
MSC,PVL Immature,Fibro_PVL,standard,0.0,0.0,0.3333333333333333,0.6830444502401943,50
MSC,PVL Immature,Fibro_PVL,filter_only,0.0,0.0,0.3333333333333333,0.6830444502401943,50
MSC,PVL Immature,Fibro_PVL,regex_mask,0.0,0.0,0.3333333333333333,0.6830444502401943,50
MSC,PVL Immature,Fibro_PVL,full_core,0.0,0.0,0.5,0.7326378489016554,50
MOUSE_B,B cell,Mature_B,standard,0.82,0.0,1.0,0.1706000366988285,50
MOUSE_B,B cell,Mature_B,filter_only,0.68,0.02,1.0,0.2519531237341442,50
MOUSE_B,B cell,Mature_B,regex_mask,0.1,0.1,1.0,0.5128265455535351,50
MOUSE_B,B cell,Mature_B,full_core,0.0,0.0,0.8333333333333334,0.783202975725335,50
MOUSE_B,immature B cell,Erythrocyte_like,standard,0.18,0.02,1.0,0.54430102810535,50
MOUSE_B,immature B cell,Erythrocyte_like,filter_only,0.16,0.0,1.0,0.5576496935774355,50
MOUSE_B,immature B cell,Erythrocyte_like,regex_mask,0.0,0.0,0.5,0.54804204790095,50
MOUSE_B,immature B cell,Erythrocyte_like,full_core,0.02,0.0,0.5,0.6466247907048727,50
MOUSE_B,naive B cell,Mast_like,standard,0.0,0.0,0.6666666666666666,0.7178496431646866,50
MOUSE_B,naive B cell,Mast_like,filter_only,0.0,0.0,0.6666666666666666,0.7178496431646866,50
MOUSE_B,naive B cell,Mast_like,regex_mask,0.0,0.0,0.6666666666666666,0.7178496431646866,50
MOUSE_B,naive B cell,Mast_like,full_core,0.0,0.0,0.6666666666666666,0.8092126871789092,50
MOUSE_B,precursor B cell,pDC_Myeloid_like,standard,0.02,0.0,0.8,0.6635783951968182,50
MOUSE_B,precursor B cell,pDC_Myeloid_like,filter_only,0.02,0.0,0.8,0.6635783951968182,50
MOUSE_B,precursor B cell,pDC_Myeloid_like,regex_mask,0.0,0.0,0.8,0.6650174143290252,50
MOUSE_B,precursor B cell,pDC_Myeloid_like,full_core,0.0,0.0,0.8,0.7826282152242499,50
