dataset,cluster,Ground_Truth,variant,n_top_eval,marker_recall_at_n,noise_fraction_at_n,low_gini_fraction_at_n
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,filter_only,50,0.5,0.04,0.04
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,regex_mask,50,0.5,0.04,0.04
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,full_core,50,0.25,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,standard,10,0.625,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,filter_only,10,0.625,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,regex_mask,10,0.625,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,full_core,10,0.625,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,standard,20,0.625,0.15,0.05
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,filter_only,20,0.625,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,regex_mask,20,0.625,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,full_core,20,0.75,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,standard,30,0.75,0.16666666666666666,0.03333333333333333
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,filter_only,30,0.75,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,regex_mask,30,0.75,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,full_core,30,0.875,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,standard,50,0.75,0.16,0.04
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,filter_only,50,0.75,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,regex_mask,50,0.75,0.0,0.0
CD8,CD8.c07.Temra.CX3CR1,CD8_Effector,full_core,50,0.875,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,standard,10,0.25,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,filter_only,10,0.25,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,regex_mask,10,0.25,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,full_core,10,0.375,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,standard,20,0.25,0.25,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,filter_only,20,0.375,0.05,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,regex_mask,20,0.375,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,full_core,20,0.5,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,standard,30,0.375,0.26666666666666666,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,filter_only,30,0.375,0.13333333333333333,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,regex_mask,30,0.375,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,full_core,30,0.5,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,standard,50,0.375,0.34,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,filter_only,50,0.375,0.18,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,regex_mask,50,0.375,0.0,0.0
CD8,CD8.c08.Tk.TYROBP,CD8_Effector,full_core,50,0.625,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,standard,10,0.0,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,filter_only,10,0.0,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,regex_mask,10,0.0,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,full_core,10,0.125,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,standard,20,0.125,0.05,0.05
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,filter_only,20,0.125,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,regex_mask,20,0.125,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,full_core,20,0.125,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,standard,30,0.125,0.1,0.03333333333333333
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,filter_only,30,0.125,0.06666666666666667,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,regex_mask,30,0.125,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,full_core,30,0.25,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,standard,50,0.125,0.08,0.02
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,filter_only,50,0.125,0.06,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,regex_mask,50,0.125,0.0,0.0
CD8,CD8.c09.Tk.KIR2DL4,CD8_Effector,full_core,50,0.25,0.0,0.0
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,standard,10,0.125,0.3,0.3
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,filter_only,10,0.25,0.1,0.1
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,regex_mask,10,0.25,0.1,0.1
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,full_core,10,0.125,0.0,0.0
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,standard,20,0.25,0.2,0.2
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,filter_only,20,0.25,0.05,0.05
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,regex_mask,20,0.25,0.05,0.05
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,full_core,20,0.125,0.0,0.0
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,standard,30,0.375,0.16666666666666666,0.16666666666666666
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,filter_only,30,0.375,0.06666666666666667,0.06666666666666667
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,regex_mask,30,0.375,0.06666666666666667,0.06666666666666667
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,full_core,30,0.125,0.0,0.0
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,standard,50,0.375,0.12,0.12
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,filter_only,50,0.375,0.04,0.04
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,regex_mask,50,0.375,0.04,0.04
CD8,CD8.c10.Trm.ZNF683,CD8_EffectorMemory,full_core,50,0.125,0.02,0.02
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,standard,10,0.125,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,filter_only,10,0.125,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,regex_mask,10,0.125,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,full_core,10,0.125,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,standard,20,0.25,0.05,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,filter_only,20,0.25,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,regex_mask,20,0.25,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,full_core,20,0.375,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,standard,30,0.5,0.06666666666666667,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,filter_only,30,0.5,0.03333333333333333,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,regex_mask,30,0.5,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,full_core,30,0.5,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,standard,50,0.625,0.06,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,filter_only,50,0.625,0.04,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,regex_mask,50,0.625,0.0,0.0
CD8,CD8.c11.Tex.PDCD1,CD8_Exhausted,full_core,50,0.75,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,standard,10,0.75,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,filter_only,10,0.75,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,regex_mask,10,0.75,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,full_core,10,0.75,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,standard,20,0.75,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,filter_only,20,0.75,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,regex_mask,20,0.75,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,full_core,20,0.75,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,standard,30,0.875,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,filter_only,30,0.875,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,regex_mask,30,0.875,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,full_core,30,0.875,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,standard,50,0.875,0.02,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,filter_only,50,0.875,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,regex_mask,50,0.875,0.0,0.0
CD8,CD8.c12.Tex.CXCL13,CD8_Exhausted,full_core,50,1.0,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,standard,10,0.5,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,filter_only,10,0.5,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,regex_mask,10,0.5,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,10,0.5,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,standard,20,0.5,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,filter_only,20,0.5,0.05,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,regex_mask,20,0.5,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,20,0.75,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,standard,30,0.75,0.03333333333333333,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,filter_only,30,0.75,0.03333333333333333,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,regex_mask,30,0.75,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,30,0.875,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,standard,50,0.875,0.04,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,filter_only,50,0.875,0.02,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,regex_mask,50,0.875,0.0,0.0
CD8,CD8.c13.Tex.myl12a,CD8_Exhausted,full_core,50,0.875,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,10,0.25,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,10,0.25,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,10,0.25,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,10,0.375,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,20,0.5,0.1,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,20,0.625,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,20,0.625,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,20,0.625,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,30,0.625,0.2,0.03333333333333333
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,30,0.625,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,30,0.625,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,30,0.625,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,standard,50,0.625,0.2,0.02
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,filter_only,50,0.625,0.06,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,regex_mask,50,0.75,0.0,0.0
CD8,CD8.c14.Tex.TCF7,CD8_Exhausted,full_core,50,0.875,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,10,0.6666666666666666,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,10,0.6666666666666666,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,regex_mask,10,0.6666666666666666,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,full_core,10,0.8333333333333334,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,20,1.0,0.05,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,20,1.0,0.05,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,regex_mask,20,1.0,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,full_core,20,1.0,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,30,1.0,0.03333333333333333,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,30,1.0,0.03333333333333333,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,regex_mask,30,1.0,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,full_core,30,1.0,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,standard,50,1.0,0.02,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,filter_only,50,1.0,0.02,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,regex_mask,50,1.0,0.0,0.0
CD8,CD8.c15.ISG.IFIT1,CD8_ISG,full_core,50,1.0,0.0,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,standard,10,0.3333333333333333,0.3,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,filter_only,10,0.6666666666666666,0.0,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,regex_mask,10,0.6666666666666666,0.0,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,full_core,10,0.6666666666666666,0.0,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,standard,20,0.6666666666666666,0.25,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,filter_only,20,0.6666666666666666,0.05,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,regex_mask,20,0.6666666666666666,0.0,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,full_core,20,1.0,0.0,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,standard,30,0.6666666666666666,0.2,0.03333333333333333
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,filter_only,30,0.6666666666666666,0.03333333333333333,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,regex_mask,30,0.6666666666666666,0.0,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,full_core,30,1.0,0.0,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,standard,50,1.0,0.18,0.02
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,filter_only,50,1.0,0.06,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,regex_mask,50,1.0,0.0,0.0
CD8,CD8.c16.MAIT.SLC4A10,CD8_MAIT,full_core,50,1.0,0.0,0.0
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,standard,10,0.0,0.2,0.2
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,filter_only,10,0.0,0.1,0.1
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,regex_mask,10,0.0,0.1,0.1
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,full_core,10,0.0,0.0,0.0
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,standard,20,0.0,0.2,0.15
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,filter_only,20,0.0,0.05,0.05
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,regex_mask,20,0.0,0.05,0.05
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,full_core,20,0.0,0.0,0.0
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,standard,30,0.0,0.16666666666666666,0.1
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,filter_only,30,0.0,0.06666666666666667,0.03333333333333333
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,regex_mask,30,0.0,0.03333333333333333,0.03333333333333333
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,full_core,30,0.0,0.0,0.0
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,standard,50,0.0,0.18,0.08
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,filter_only,50,0.0,0.12,0.02
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,regex_mask,50,0.0,0.02,0.02
CD8,CD8.c17.Tm.NME1,CD8_EffectorMemory,full_core,50,0.0,0.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,standard,10,0.0,1.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,filter_only,10,0.875,0.0,0.0
CD4,CD4.c01.Tn.TCF7,CD4_Tn.Naive,regex_mask,10,0.875,0.0,0.0
