dataset,cluster,Ground_Truth,variant,rank,gene,is_regex_noise,is_any_noise,is_low_gini,is_canonical_marker
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,2,CCR7,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,3,KLF2,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,4,LTB,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,5,LEF1,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,6,SELL,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,7,LDHB,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,8,SLC2A3,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,9,GPR183,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,10,TCF7,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,11,S1PR1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,12,NELL2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,13,NPM1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,14,KLF3,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,15,TOB1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,16,AREG,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,17,GADD45B,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,18,SOCS3,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,19,ANXA1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,20,DUSP1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,21,TXNIP,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,22,SATB1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,23,PTGER2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,24,AQP3,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,25,RASGRP2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,26,LMNA,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,27,LSR,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,28,CHMP1B,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,29,RGCC,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,30,NR4A1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,31,SGK1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,32,PASK,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,33,PIM1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,34,MAL,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,35,SCML1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,36,SESN3,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,37,BACH2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,38,CDKN1A,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,39,NFKBIA,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,40,DNAJB1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,41,C1orf228,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,42,PLAC8,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,43,TIMP1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,44,PPP1R15A,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,45,PRDX2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,46,TXK,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,47,NR4A2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,48,FXYD7,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,49,ZFP36,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,50,MARCKSL1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,1,ZFP36L2,False,False,False,True
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,2,CXCR4,False,False,False,True
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,3,BTG1,False,True,True,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,4,ZFP36,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,5,ANXA1,False,False,False,True
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,6,IL7R,False,False,False,True
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,7,TSC22D3,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,8,SARAF,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,9,GLIPR1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,10,LEPROTL1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,11,KLF6,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,12,PTGER4,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,13,RGCC,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,14,FAM129A,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,15,TNFAIP3,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,16,FOSB,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,17,MYADM,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,18,CYTIP,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,19,RPS3A,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,20,SAMSN1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,21,YPEL5,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,22,CCNH,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,23,CD55,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,24,LMNA,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,25,PARP8,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,26,SRGN,False,True,True,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,27,FOS,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,28,AC090498.1,False,True,True,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,29,AIM1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,30,RPL30,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,31,RPS27,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,32,PNRC1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,33,AHNAK,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,34,ELF1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,35,EIF1,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,36,GPR183,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,37,TOB1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,38,DUSP1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,39,VIM,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,40,RPS28,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,41,PLK3,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,42,TOMM7,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,43,FTH1,False,True,True,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,44,RPS3,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,45,MCL1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,46,EZR,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,47,SCML4,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,48,SYTL3,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,49,EML4,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,50,CD69,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,1,ZFP36L2,False,False,False,True
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,2,CXCR4,False,False,False,True
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,3,ZFP36,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,4,ANXA1,False,False,False,True
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,5,IL7R,False,False,False,True
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,6,TSC22D3,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,7,GLIPR1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,8,LEPROTL1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,9,KLF6,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,10,PTGER4,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,11,RGCC,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,12,FAM129A,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,13,TNFAIP3,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,14,FOSB,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,15,MYADM,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,16,CYTIP,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,17,SAMSN1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,18,YPEL5,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,19,CCNH,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,20,CD55,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,21,LMNA,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,22,PARP8,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,23,FOS,True,True,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,24,AIM1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,25,PNRC1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,26,AHNAK,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,27,ELF1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,28,GPR183,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,29,TOB1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,30,DUSP1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,31,VIM,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,32,PLK3,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,33,TOMM7,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,34,MCL1,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,35,EZR,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,36,SCML4,False,False,False,False
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,37,SYTL3,False,False,False,False
