cell_id,x,y,Level0,Level1,Level2,leiden_coarse,major_type,fine_type
aabbiabd-1,3502.542236,1053.828369,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aabbjldl-1,3499.868408,1057.543823,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aabblpfb-1,3492.794189,1057.383057,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabbpopj-1,3473,1067.115112,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabcbehc-1,3482.582031,1061.505127,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabcbgio-1,3487.241211,1059.335815,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aabcddbd-1,3360.486816,1042.737793,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabchmna-1,3381.079346,1044.401367,imm,B cells,Plasma,3,Plasma cell,IgG3+ Plasma cell
aabcjfgc-1,3371.581787,1038.803711,tum,Tumor,Proliferating Immune II,3,Plasma cell,Plasma cell
aabcjnba-1,3372.458252,1075.867188,imm,T cells,CD8 Cytotoxic T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aabckfao-1,3360.941895,1060.530884,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabckhlg-1,3365.663818,1071.002075,imm,B cells,Plasma,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Cancer-Associated Fibroblast (apCAF)
aabcliab-1,3363.76416,1065.24292,tum,Tumor,Proliferating Immune II,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabclolf-1,3359.477051,1068.028198,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabcnajb-1,3415.141113,1027.862061,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabddhdi-1,3419.112549,1030.681152,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aabdekge-1,3413.914063,1023.980225,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabdimlh-1,3450.61499,1058.713989,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabdkjoi-1,3428.314941,1083.809937,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabdlfnm-1,3455.942871,1063.858398,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabdnofg-1,3427.642822,1057.729858,imm,T cells,CD8 Cytotoxic T cell,0,Colorectal cancer stem cell,SPP1+ Tumor-Associated Macrophage (ISG-high)
aabdoffp-1,3430.187256,1047.342163,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aabdpmbe-1,3433.894531,1051.590454,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabedbfj-1,3420.489014,1049.314819,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabeebej-1,3423.642822,1033.299438,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aabeenna-1,3429.158203,1041.05481,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabefhbm-1,3421.346191,1041.278809,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aabejjjd-1,3430.279053,1034.920166,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aabekohj-1,3333.42041,1114.95874,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabenkkj-1,3336.571045,1125.102539,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aabeojjg-1,3334.196289,1121.488281,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabfapii-1,3361.432373,1174.814819,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabfncdb-1,3359.171631,1166.974487,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aabfnobc-1,3359.759766,1178.549194,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabgdldi-1,3358.839844,1171.003174,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabghcga-1,3362.372803,1153.982178,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aabgkhpd-1,3371.358887,1156.81543,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabgljbf-1,3362.401855,1161.231812,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabgppkd-1,3370.328857,1119.119629,imm,Myeloid,Macrophage,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aabhemaf-1,3366.719238,1130.134277,tum,Tumor,Proliferating Immune II,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabhhekm-1,3361.07251,1119.844116,imm,B cells,Plasma,3,Plasma cell,Plasma cell
aabhjejg-1,3367.687256,1110.635132,imm,B cells,Plasma,3,Plasma cell,IgG3+ Plasma cell
aabhjkan-1,3353.039795,1179.219604,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabhkjla-1,3335.675049,1187.750366,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabhmhjb-1,3339.020508,1183.352783,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabhneag-1,3350.817871,1183.380127,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabhoedk-1,3340.739502,1127.780518,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabhomcm-1,3358.884277,1147.786011,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabhppdm-1,3363.7229,1141.285278,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aabibdhb-1,3357.149414,1140.439209,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabidkgi-1,3356.237305,1136.160522,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aabifdce-1,3348.473145,1132.396729,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabiflaa-1,3402.900635,1149.322021,imm,Myeloid,Macrophage,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aabiheim-1,3402.046143,1163.389038,imm,B cells,Plasma,3,Plasma cell,Plasma cell
aabihmmh-1,3401.242676,1156.278442,imm,B cells,Plasma,3,Plasma cell,Plasma cell
aabijpec-1,3411.628418,1190.599121,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aabilpia-1,3419.307861,1207.157349,imm,Myeloid,Macrophage,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aabimoga-1,3414.493164,1204.054199,imm,Myeloid,Macrophage,3,Plasma cell,IgG3+ Plasma cell
aabinepe-1,3419.845215,1200.730225,imm,T cells,CD4 T cell,3,Plasma cell,IgA plasma cell
aabjlipe-1,3412.189209,1199.005859,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aabjooml-1,3405.495117,1196.815918,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabkapbj-1,3416.751465,1178.294922,imm,B cells,Plasma,3,Plasma cell,Plasma cell
aabkbnjh-1,3418.279297,1186.556152,imm,B cells,Plasma,3,Plasma cell,Plasma cell
aabkjmpf-1,3423.681885,1182.332153,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabkphhf-1,3410.076904,1182.411377,imm,B cells,Plasma,3,Plasma cell,Plasma cell
aabkpmki-1,3406.424561,1176.440796,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aablaafn-1,3412.909668,1149.593384,imm,B cells,Plasma,3,Plasma cell,IgG3+ Plasma cell
aablhglh-1,3422.936768,1159.138794,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aablieoi-1,3409.367188,1158.892822,imm,B cells,Plasma,3,Plasma cell,Plasma cell
aabllnic-1,3420.289063,1154.296387,imm,B cells,Plasma,3,Plasma cell,Plasma cell (PECAM1+)
aablmohh-1,3419.329346,1169.111694,imm,T cells,CD4 T cell,3,Plasma cell,IgG3+ Plasma cell
aablmplp-1,3422.851807,1173.095093,imm,B cells,Plasma,3,Plasma cell,Plasma cell
aablohcp-1,3412.675537,1171.074097,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabmbcjh-1,3376.687744,1179.202026,tum,Tumor,Proliferating Immune II,3,Plasma cell,Plasma cell (proliferating)
aabmeeol-1,3396.503418,1174.990601,imm,T cells,CD4 T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabmfbnk-1,3398.841797,1181.260498,imm,B cells,Plasma,3,Plasma cell,IgG3+ Plasma cell
aabmglhg-1,3399.542969,1200.828979,imm,T cells,CD8 Cytotoxic T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabminih-1,3395.112061,1094.467285,imm,B cells,Plasma,3,Plasma cell,IgA plasma cell
aabmjdpn-1,3396.54834,1113.192139,imm,T cells,CD8 Cytotoxic T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),Antigen-presenting Tumor-Associated Macrophage
aabnajmh-1,3397.194336,1105.52002,tum,Tumor,Proliferating Immune II,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aabofiib-1,3224.453613,1028.953857,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aabogaoo-1,3225.571289,1035.574463,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aabooeck-1,3231.397705,1032.642578,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacagdhb-1,3297.139404,1042.789673,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacahcdo-1,3268.646484,1074.47644,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacaimhg-1,3275.805176,1071.519897,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacajhhl-1,3283.017334,1051.473389,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacakedp-1,3283.180176,1046.041138,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacgddng-1,3210.138184,1038.612061,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacggllp-1,3229.999268,1039.608643,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacgjepc-1,3225.807861,1045.025269,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacgjmom-1,3217.561279,1043.53479,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacgmgnf-1,3215.322754,1040.089111,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacgmlap-1,3205.793701,1046.584595,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacgnjpg-1,3218.439697,1049.717285,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aachbnkc-1,3211.121094,1050.043579,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacheoga-1,3242.217041,1053.053589,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aachfeae-1,3248.618164,1044.5354,imm,T cells,CD8 Cytotoxic T cell,1,Antigen-presenting Cancer-Associated Fibroblast (apCAF),T cell
aachfgmb-1,3239.835205,1059.755005,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aachgfed-1,3233.566406,1047.779175,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aachjnbp-1,3240.633545,1045.080688,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aachodbe-1,3233.96875,1052.709473,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aachpock-1,3489.445068,1476.237549,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aaciahkm-1,3502.672852,1468.023315,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacihgfo-1,3497.7771,1466.20459,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aaciiflg-1,3488.456055,1542.926392,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacinkea-1,3499.256348,1537.345215,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aaciokce-1,3514.712646,1549.155029,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacjbicj-1,3507.694336,1543.503662,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacjholk-1,3500.164307,1542.328003,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacjkimc-1,3494.791748,1517.169189,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacjkjjf-1,3502.862549,1528.531128,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacjnhie-1,3498.432373,1526.555176,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aackgbdg-1,3524.901611,1611.889404,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aackhcdh-1,3518.881348,1599.085083,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aackmmlj-1,3528.095215,1608.573853,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aackmphi-1,3534.013672,1613.746338,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aackoged-1,3532.823486,1604.058105,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aaclaihm-1,3525.506348,1532.282104,tum,Tumor,Tumor V,0,Colorectal cancer stem cell,Absorptive colonocyte
aaclcnmn-1,3534.601318,1532.670288,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aaclekff-1,3532.179199,1537.752441,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aaclelkj-1,3528.482422,1582.921021,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aaclflae-1,3514.231201,1590.727539,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aaclhagp-1,3514.789063,1578.994751,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aaclhbkk-1,3527.150635,1590.473755,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aaclhckh-1,3522.854492,1591.315796,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aaclihbk-1,3524.656738,1557.150879,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aaclkdad-1,3514.896729,1562.115112,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aaclkgij-1,3518.68335,1562.940918,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aaclmgjm-1,3525.27124,1570.337646,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacmmamb-1,3529.687012,1567.213989,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacmpcpm-1,3531.404297,1558.364624,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacnahdl-1,3551.802734,1468.563721,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacnckbe-1,3555.836914,1482.576538,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacnhdni-1,3567.750244,1477.828857,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacnhjko-1,3551.485107,1475.65564,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacnigjd-1,3537.802979,1473.154541,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacnlenl-1,3526.960449,1506.06665,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacnloba-1,3528.769775,1524.43335,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacnogkd-1,3524.453369,1516.016846,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacobanc-1,3532.133545,1516.494873,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacodnho-1,3526.0625,1488.446777,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacogkpf-1,3549.854004,1505.867432,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacognaa-1,3550.252441,1489.649414,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacojajg-1,3544.466797,1498.7052,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aacojkbf-1,3537.760742,1484.470825,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacojpla-1,3530.666016,1493.174561,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacolobf-1,3510.591309,1556.473145,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacpbaij-1,3513.181641,1602.841675,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacpbhjj-1,3498.578857,1599.385132,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacpdgem-1,3506.583496,1575.620239,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacpebfh-1,3504.676758,1563.685913,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacpgeni-1,3499.577881,1556.742798,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aacpikjk-1,3512.621826,1667.807129,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aacpkfeb-1,3515.441895,1659.440552,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aacplfio-1,3494.069092,1661.093506,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadacelo-1,3502.840088,1660.226807,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadaijhk-1,3505.367676,1660.822388,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadaondj-1,3501.773193,1637.722778,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadbangn-1,3510.095459,1639.402466,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadbddlj-1,3508.260254,1674.80542,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aadbdfic-1,3513.747314,1684.00354,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadblanm-1,3525.737793,1676.30188,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadcahgl-1,3489.036865,1678.018921,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadcbamb-1,3544.099121,1670.088135,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadcbdom-1,3538.317627,1651.228149,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadclckf-1,3536.86084,1658.079102,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadcnndb-1,3538.194824,1660.856201,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadcpomo-1,3529.926514,1680.850708,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadeaggl-1,3554.878174,1666.512817,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadegadd-1,3557.743164,1648.084717,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aadelibc-1,3561.289307,1653.893799,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadfebad-1,3564.781494,1645.255615,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell
aadgacep-1,3560.739258,1615.056274,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,SPP1+ Tumor-Associated Macrophage (ISG-high)
aadgbcje-1,3526.055664,1641.938477,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadgbnkc-1,3554.752441,1611.941528,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadglihc-1,3551.725586,1644.790405,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadgogpj-1,3548.215576,1615.230347,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadgpmol-1,3541.892822,1614.418091,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadhajda-1,3547.352295,1600.661499,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadhnaif-1,3544.373047,1607.046753,tum,Tumor,Tumor V,0,Colorectal cancer stem cell,Regenerative Colorectal Cancer Stem Cell
aadiljdj-1,3551.374512,1606.154785,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadinokl-1,3538.60083,1604.178955,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
aadipddh-1,3538.923584,1551.078247,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Colorectal cancer stem cell (proliferating)
aadipmcf-1,3556.740967,1575.122925,tum,Tumor,Tumor III,0,Colorectal cancer stem cell,Absorptive colonocyte
